Price,Open,High,Low,Close,Volume
Ticker,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS
Date,,,,,
2020-12-01,179.12485210038463,179.1739557786004,174.95002020597562,176.57083129882812,48881250
2020-12-02,180.74565677200164,184.03641249683938,177.89695404670346,180.3527374267578,88107889
2020-12-03,181.72798371845576,182.7102971439609,180.0089352238217,181.5806427001953,33332481
2020-12-04,183.20144784079218,185.46077164304566,178.9774972520423,180.89300537109375,47995639
2020-12-07,181.18771074268386,183.152337619783,179.46866222522215,180.3036346435547,29802472
2020-12-08,181.67886068827244,182.4155957397163,175.7849802767216,178.58457946777344,42143391
2020-12-09,179.7633401865648,183.10319952779957,178.43721118962372,179.46864318847656,40300535
2020-12-10,179.46865154994646,179.46865154994646,173.28007425741467,174.4588623046875,38368777
2020-12-11,174.80266129248886,178.24075808943155,173.37830990296655,175.68675231933594,43065542
2020-12-14,177.79872088998297,178.28987757752435,173.5747703793445,174.50796508789062,33186273
2020-12-15,173.32920540453074,176.52172411979012,170.18580535959654,175.73587036132812,41190341
2020-12-16,177.7987307663406,180.5492113671385,176.9146546752225,179.32131958007812,51259394
2020-12-17,180.74566722184474,180.74566722184474,177.45491130675134,178.48634338378906,34101954
2020-12-18,177.7004901538196,178.28988419631483,173.52565815473233,177.356689453125,46065197
2020-12-21,172.88714848336173,174.40973716381012,159.62591834401294,161.63966369628906,75582907
2020-12-22,161.63968862972018,166.20744038674334,153.92852169698816,162.03260803222656,110009846
2020-12-23,162.0817146045462,166.6985846894385,160.51000713402772,166.20742797851562,56930071
2020-12-24,168.9579082025337,174.85178872122674,168.9579082025337,172.83804321289062,73831319
2020-12-28,176.66907058064976,184.0855247425213,175.8340981969983,183.05410766601562,98012135
2020-12-29,184.5766903937866,185.1169657865355,177.89697095624487,180.2053985595703,71318085
2020-12-30,179.8615882993134,182.120897112654,177.20933014641295,180.89300537109375,38576159
2020-12-31,181.58064105331462,184.18376561172843,179.5668955515104,180.59832763671875,48978310
2021-01-01,181.67887291872634,183.69261852601898,181.23683485588504,183.2014617919922,27334421
2021-01-04,188.40770636501352,189.5864794049822,185.41164760461345,187.9165496826172,63980597
2021-01-05,183.79084104702602,190.47056009998948,181.77709560212696,189.78294372558594,75752593
2021-01-06,191.01083603729344,194.10513221480412,187.27804215067937,191.94403076171875,75621947
2021-01-07,193.51575048269734,196.80650654992294,191.64936091523177,193.27017211914062,66024848
2021-01-08,195.23479505709165,197.93615700127782,193.61398388614535,194.64540100097656,53991568
2021-01-11,196.36444816160937,221.4134405628498,196.11886980473446,216.74745178222656,182483100
2021-01-12,222.98514366329383,247.9358982362205,220.13644077505487,233.59413146972656,390577839
2021-01-13,238.60393192292688,244.39959029346372,234.1835213810034,238.3092498779297,164649387
2021-01-14,238.55480955064493,245.3818845215995,234.37997769925892,240.7650146484375,86819519
2021-01-15,241.64912615144362,259.9692673214241,238.30926617581073,255.69619750976562,250038029
2021-01-18,257.02229283114906,257.8081615308633,236.88486831004207,241.5999755859375,173383224
2021-01-19,247.0518281168312,257.07143711309783,246.85536842823868,254.0753631591797,136861059
2021-01-20,255.40147046105966,272.5919540497848,254.2718161065083,270.0379333496094,205145151
2021-01-21,276.03008144706666,293.71172367499264,275.04776798995965,285.4602966308594,283614463
2021-01-22,290.7156658630554,301.47197972260926,273.4269438406414,284.2323913574219,316008609
2021-01-25,291.64886315950906,294.2028841763047,272.4446468179299,274.2127990722656,164346913
2021-01-27,270.0379423675519,270.13617970119014,261.0006772515164,262.7688293457031,126586833
2021-01-28,255.45059172048425,268.564481813531,254.46827830494257,262.0812072753906,129156876
2021-01-29,268.17155745587263,273.868963168933,255.99087732523702,258.0537414550781,138442348
