Date,Open,Open.1,High,High.1,Low,Low.1,Close,Close.1,Volume,Volume.1
2020-12-01,237.9555035910212,205.9889369728291,243.17811597311103,206.6755716931569,236.84569939370388,202.7577379614906,241.8235015869141,205.38308715820312,113163,3628018.0
2020-12-02,241.82347046145907,205.98893095360324,242.52526754833303,207.6045304120629,235.01775107498452,202.43461707541036,238.36349487304688,203.8482666015625,81951,3916284.0
2020-12-03,238.9347423925205,205.98893256526685,238.9347423925205,207.7661018443136,227.1838534223965,203.16163349084164,233.3530731201172,206.8371124267578,71970,5575081.0
2020-12-04,226.85744916334392,208.412365110668,231.75365299462453,214.4304839640429,225.9108417868813,208.2507952768758,227.1185760498047,211.68394470214844,76698,10639543.0
2020-12-07,225.2579984601099,212.45133168707093,227.11854972352077,216.6519001972337,220.59027372452428,210.8357322065609,222.28762817382807,215.8036956787109,74055,5133475.0
2020-12-08,226.85744958247932,218.10593730860867,227.73876029692684,219.6407519370285,221.96124574215267,208.9374050135505,223.7565155029297,211.23963928222656,45090,5895886.0
2020-12-09,224.24611690588165,212.8148933670654,226.85743038036676,214.79398832942397,221.9612269544741,207.64495428900236,223.26687622070312,208.1700439453125,38184,4424118.0
2020-12-10,223.59328677194787,207.3622117322866,224.24611888182835,207.4429719879679,217.06502544125192,202.475008311026,219.4478454589844,205.9081573486328,33399,5527767.0
2020-12-11,219.44784743476865,206.3120659030249,219.44784743476865,212.65329932225544,215.82464488143933,206.3120659030249,217.68521118164065,211.3204345703125,38436,4131904.0
2020-12-14,217.63623631433455,212.9764216591036,228.5547636779281,216.4903558732867,216.08577691931745,211.64355686119816,228.5058135986328,215.4806060791016,62451,5789457.0
2020-12-15,235.0177746481409,216.89426622923853,235.99701537584144,217.2981661663507,230.7744031421142,212.5725319717191,234.07118225097656,215.5614013671875,89058,4785514.0
2020-12-16,234.0711634202574,217.29813390965063,236.8130252836177,217.8636035985052,230.1215524966598,212.49171551066357,230.2684326171875,213.3399200439453,69483,5622320.0
2020-12-17,228.5711268009668,213.25916359833712,235.01779037573607,213.8650134949233,226.8574554128104,208.45274455791525,228.65272521972656,209.50289916992188,43701,3107919.0
2020-12-18,232.08004306065385,210.997343593336,233.2388122042789,211.60319351791247,225.2580065737297,206.150531870676,229.43609619140625,208.1700439453125,35892,7133354.0
2020-12-21,223.707558019014,206.39286033257525,231.75366123699496,206.43325279002204,218.04429002183244,187.4903488959404,219.9701232910156,196.9416046142578,80328,5994677.0
