Date,Open,High,Low,Close,Volume
2021-05-20,1849.108949781944,1873.30094404118,1838.9207566169684,1860.8067626953125,10857
2021-05-21,1869.946403417398,1907.6807478809776,1865.124792735941,1901.2659912109373,26082
2021-05-24,1928.6444876897904,1968.0559185251905,1879.38019914554,1889.9039306640625,36405
2021-05-25,1845.8382840322,1907.6806796925632,1845.8382840322,1887.052490234375,22833
2021-05-26,1916.9048910194103,1959.6704857009456,1897.953780899208,1940.6776123046875,42113
2021-05-27,1953.800626830318,1953.800626830318,1905.1652464199497,1910.4061279296875,18929
2021-05-28,1949.6080219579264,1953.800727381492,1890.9101460280103,1910.9931640625,13801
2021-05-31,1931.9983612479296,1931.9983612479296,1884.075827535428,1909.8609619140625,8431
2021-06-01,1927.8059386156056,1927.8059386156056,1877.451505929648,1889.6103515625,83682
2021-06-02,1923.613332855821,1923.613332855821,1899.2956403306168,1914.976318359375,8110
2021-06-03,1918.875625186144,1926.7158617078933,1899.672910991727,1902.985107421875,8370
2021-06-04,1905.332790127152,1923.571056598328,1891.2872285918784,1898.7503662109373,8175
2021-06-07,1917.9948586328085,1928.644288323952,1903.8233929854484,1909.5255126953125,7805
2021-06-08,1910.4479748705444,1922.9001857154867,1898.8341002921047,1911.663818359375,5751
2021-06-09,1911.8316427506527,1924.5356626026007,1899.463162154806,1903.907470703125,7701
2021-06-10,1908.47738184238,1921.936006075382,1903.613803011765,1915.60498046875,8602
2021-06-11,1920.2588248341228,1967.1751512475864,1913.5504970617767,1923.529052734375,18424
2021-06-14,1949.607879831794,1957.9932900676297,1920.971785765187,1931.6212158203125,25196
2021-06-15,1944.5764986231552,1966.378563721992,1940.383793796456,1946.0439453125,11028
2021-06-16,1955.813080833436,1955.813080833436,1920.259021880408,1927.4285888671875,4924
2021-06-17,1925.2898875891644,1937.029460074464,1894.263874592301,1901.726806640625,12614
2021-06-18,1903.4882423001995,1910.825476714352,1867.5149120327303,1871.6656494140625,16806
2021-06-21,1861.5610351549224,1886.2979948563047,1851.0373045748645,1882.5665283203125,6910
