Date,Open,Open,High,High,Low,Low,Close,Close,Volume,Volume
2020-12-01,,29844.454765657654,,29919.403115459038,,29510.65785443768,,29817.50390625,,0
2020-12-02,,29876.352624367086,,29885.90329482014,,29149.56222770868,,29462.80859375,,0
2020-12-03,,29728.55534218489,,29812.653975457895,,29379.059398656143,,29448.408203125,,0
2020-12-04,,29573.05635361322,,30161.949893367913,,29473.157125162048,,30052.05078125,,0
2020-12-07,,30062.249780173854,,30353.845996294123,,29950.251083483316,,30211.19921875,,0
2020-12-08,,30299.948772639968,,30363.44803493948,,30024.850406085756,,30261.548828125,,0
2020-12-09,,30334.697716371153,,30806.891439268806,,30326.34625107367,,30709.04296875,,0
2020-12-10,,30544.993732848412,,30609.643370247253,,30201.747731971664,,30509.994140625,,0
2020-12-11,,30554.94588799899,,30811.44290880662,,30328.096960331128,,30604.494140625,,0
2020-12-14,,30734.793093719025,,30845.442198030414,,30623.89399231389,,30745.54296875,,269000
2020-12-15,,30805.041637057184,,30805.490850575672,,30345.39659942924,,30690.693359375,,279400
2020-12-16,,30919.98960334236,,30931.88985541096,,30586.743483376446,,30698.04296875,,0
2020-12-17,,30790.84049443312,,30944.838700298882,,30643.54338237222,,30846.69140625,,0
2020-12-18,,30841.490707301375,,30853.69173719313,,30374.146536405133,,30714.29296875,,0
2020-12-21,,30595.44576394912,,30607.144846947645,,29200.86038365942,,29456.107421875,,0
2020-12-22,,29607.156464066356,,29710.805652035484,,28976.413782660973,,29625.60546875,,0
2020-12-23,,29560.40609624026,,29941.05205845595,,29445.657431218446,,29882.953125,,0
2020-12-24,,30071.3007186093,,30545.494423388678,,30007.451851675145,,30401.845703125,,0
2020-12-28,,30558.493982787855,,30928.690846471254,,30537.795004923642,,30880.58984375,,0
2020-12-29,,31006.54076972844,,31358.985900739826,,31002.240038359298,,31322.13671875,,0
2020-12-30,,31479.43544876348,,31509.884314141207,,31006.790543387375,,31302.6875,,0
2020-12-31,,31295.536739289688,,31409.135028662735,,31087.73837263811,,31263.6875,,0
2021-01-04,,31484.78393540996,,31489.233102375565,,30893.29081987,,31212.0859375,,0
2021-01-05,,31040.738395056644,,31767.28072169168,,30935.190795166098,,31721.880859375,,0
2021-01-06,,31839.579589981742,,31981.929499927828,,31547.78414933832,,31797.53125,,0
2021-01-07,,32129.427669212862,,32177.0267258304,,31911.129423012793,,31955.62890625,,0
2021-01-08,,32297.67524789695,,32297.67524789695,,32002.577116578603,,32083.826171875,,0
2021-01-11,,32279.926424077665,,32288.074767079597,,31836.5800031604,,31998.529296875,,0
2021-01-12,,31834.681624997706,,32397.573535180407,,31725.481719409214,,32338.625,,0
2021-01-13,,32546.22102940989,,32683.119827618306,,32147.87605361207,,32574.271484375,,0
2021-01-14,,32526.32023153067,,32718.56799151571,,32441.971604961323,,32519.37109375,,0
2021-01-15,,32508.522342652763,,32544.422315789947,,32043.976963691945,,32246.42578125,,0
2021-01-18,,32274.77587274443,,32441.123551813846,,31650.533116484094,,31811.380859375,,396800
2021-01-19,,32082.52741280993,,32464.571799449423,,31863.578786338516,,32424.47265625,,354800
2021-01-20,,32388.57211425406,,32607.069570258827,,32322.524055135484,,32543.3203125,,0
2021-01-21,,32732.419421126968,,32841.91814537505,,31985.178127114392,,32186.525390625,,0
2021-01-22,,32087.627997437212,,32131.02788491286,,31119.539611433433,,31166.888671875,,0
2021-01-25,,31506.783514219973,,31697.18168777964,,31013.2892606459,,31198.037109375,,0
2021-01-27,,31235.887389564734,,31286.687581086666,,30165.300208397035,,30284.19921875,,0
2021-01-28,,29811.953623672922,,30464.04563949377,,29687.35351213026,,30357.947265625,,0
2021-01-29,,30700.2933501114,,31111.587394938877,,30254.198928757876,,30565.14453125,,0
2021-02-01,,30975.991239051436,,33304.9154669193,,30906.091657115194,,33088.66796875,,0
2021-02-02,,33588.66023680371,,34652.0970906855,,33582.75796168107,,34267.5,,672200
2021-02-03,,34555.20156679741,,34907.646705798645,,34011.50473539103,,34758.046875,,605200
2021-02-04,,34548.497517242664,,35412.73748811444,,34238.50111461582,,35344.390625,,0
2021-02-05,,35634.53538329695,,36614.77399946698,,35544.58720914436,,35654.0859375,,0
2021-02-08,,36073.43254599389,,36466.02564201838,,35871.83332520066,,35983.23046875,,0
2021-02-09,,36058.38278582923,,36476.725592572286,,35636.43845833566,,36056.08203125,,0
2021-02-10,,36041.93450010065,,36226.780017394565,,35427.73848232362,,35782.6875,,0
2021-02-11,,35686.83668857753,,36009.03217578146,,35572.88878952893,,35751.6875,,0
2021-02-12,,35736.1879031714,,36322.380336531496,,35699.83676144904,,36108.48046875,,0
2021-02-15,,36500.9741981774,,37449.46317418887,,36404.67844239263,,37305.81640625,,0
2021-02-16,,37492.16730919224,,37708.31324318035,,36762.324200105504,,37097.96875,,0
2021-02-17,,37041.51800625366,,37331.01463612816,,36763.82202025398,,36910.51953125,,0
2021-02-18,,37088.31837963386,,37108.31814688384,,36367.025992522445,,36586.57421875,,0
2021-02-19,,36371.1266324689,,36655.77175052594,,35584.18659076922,,35841.18359375,,0
2021-02-22,,35873.8834460956,,36128.478140544255,,35097.142482232164,,35256.7890625,,0
2021-02-23,,35540.13963082048,,35680.4387890026,,34975.59538056932,,35116.54296875,,0
2021-02-24,,35204.99099332919,,36567.22522754195,,35060.242668570674,,36451.87890625,,272900
2021-02-25,,36762.72016150625,,37231.76547850201,,36493.57485947803,,36548.57421875,,455900
2021-02-26,,35806.23047929238,,35902.47935580054,,34658.29466014326,,34803.1953125,,0
2021-03-01,,35373.83893444791,,35580.688093234705,,34983.343472243,,35295.58984375,,0
2021-03-02,,35457.737836012246,,35746.63683430464,,35002.04389420945,,35419.2890625,,0
2021-03-03,,35754.034461622796,,36454.72555215375,,35570.13815737304,,36367.62890625,,0
2021-03-04,,35575.23311708082,,36315.97446935087,,35518.8353379925,,35802.08203125,,0
2021-03-05,,35458.08716179999,,35615.636108708975,,34892.84374292419,,35227.73828125,,0
2021-03-08,,35462.03689172117,,35826.88421203925,,35090.34199477177,,35275.33984375,,0
2021-03-09,,35705.48233043411,,36077.380340132884,,35544.5349873436,,35865.23046875,,0
2021-03-10,,36111.83000819003,,36176.47769381735,,35763.93561680996,,35937.8828125,,0
2021-03-12,,36496.92582696449,,36496.92582696449,,35187.64031849033,,35496.234375,,0
2021-03-15,,35543.83562708032,,35543.83562708032,,34430.24704688634,,35182.140625,,0
2021-03-16,,35351.587360597296,,35404.63752262228,,34744.19601283843,,34804.1953125,,0
2021-03-17,,34904.64447725062,,35100.09142092015,,34126.45431694482,,34228.8515625,,0
2021-03-18,,34577.09707048563,,34759.446508053916,,33597.15927102456,,33856.40625,,0
2021-03-19,,33590.00666212164,,34354.997739686114,,33360.61090016775,,34161.203125,,0
2021-03-22,,34088.0021751832,,34148.501471897885,,33388.7603036503,,33603.05859375,,0
2021-03-23,,33747.55586829975,,34359.65029642772,,33621.60811755545,,34184.0,,0
2021-03-24,,33894.30551384845,,33970.25385040801,,33203.01276242353,,33292.86328125,,0
2021-03-25,,33420.362382393076,,33549.75931911548,,32414.874044294847,,33006.06640625,,0
2021-03-26,,33604.660733062025,,33610.25832434097,,33165.716609121984,,33317.8125,,0
2021-03-30,,33615.50692509653,,33990.40490249239,,33564.15986687441,,33874.70703125,,374200
2021-03-31,,33764.408710586664,,33772.709395449514,,33151.415828630044,,33303.51171875,,0
2021-04-01,,33587.608614932215,,33948.75284414039,,33208.36303415298,,33857.60546875,,0
2021-04-05,,33648.758280783884,,33697.359279756216,,32329.775527488968,,32678.470703125,,0
2021-04-06,,32915.26667930568,,33007.26561228268,,32338.025327397434,,32500.97265625,,0
2021-04-07,,32529.321761252937,,33191.314079753596,,32141.177827622974,,32990.81640625,,0
2021-04-08,,33153.81206994251,,33306.41185048082,,32704.36809950896,,32782.46875,,0
2021-04-09,,32636.521243610114,,32971.765395865994,,32329.573637625843,,32447.673828125,,0
2021-04-12,,31637.533149858613,,31697.682842280657,,30519.94651315664,,30791.642578125,,0
2021-04-13,,30901.44174644551,,31885.078755355087,,30722.492653727626,,31771.23046875,,0
2021-04-15,,31928.728697077408,,32186.6768723987,,31406.035550392407,,32112.4765625,,0
2021-04-16,,32161.07598970617,,32324.775261852352,,31911.530057559827,,31977.078125,,0
2021-04-19,,30993.088439638188,,31303.936383671917,,30405.29645378291,,31208.037109375,,0
2021-04-20,,31568.582591954004,,31731.281874294797,,30890.641246584524,,31112.337890625,,0
2021-04-22,,30763.14269575942,,31834.130256575267,,30554.89511448967,,31782.23046875,,368400
2021-04-23,,31490.23316497043,,32148.0262916372,,31376.785266386825,,31721.931640625,,0
2021-04-26,,32316.27490844289,,32603.320401391782,,32144.427295762027,,32274.775390625,,0
2021-04-27,,32228.574251089572,,32806.71986832701,,32152.575135311457,,32734.96875,,0
2021-04-28,,32865.119305465734,,33777.30795783894,,32839.9203786086,,33722.41015625,,0
2021-04-29,,33901.20876969244,,34286.602741865514,,33304.215686690324,,33714.109375,,0
2021-04-30,,33112.0117644154,,33454.85932323468,,32663.018960756475,,32781.41796875,,0
2021-05-03,,32368.174956685074,,32566.221485305992,,31906.180320871754,,32465.373046875,,351000
2021-05-04,,32610.02143903958,,33011.167168066604,,32191.026308060274,,32269.974609375,,786800
2021-05-05,,32576.719209321273,,32861.76470895507,,32068.17631947819,,32783.31640625,,0
2021-05-06,,32900.36633682246,,32955.96725093991,,32563.6202637413,,32827.41796875,,0
2021-05-07,,33041.26402940863,,33258.761499003405,,32770.97029905518,,32904.1171875,,0
2021-05-10,,33174.91367858231,,33297.213032777916,,33027.76305186466,,33142.01171875,,0
2021-05-11,,32640.569099266977,,33153.91468354223,,32611.319439897234,,32871.81640625,,0
2021-05-12,,32717.270355303604,,32747.31883439327,,32351.924989685554,,32451.923828125,,0
2021-05-14,,32494.773568008226,,32622.27208948349,,32115.127579912587,,32169.177734375,,0
2021-05-17,,32437.470908866064,,33506.507256221215,,32318.321909280054,,33458.859375,,0
2021-05-18,,33892.707371984536,,34142.45446729076,,33730.05691994725,,33922.00390625,,0
2021-05-19,,33716.7105675496,,33958.90697767527,,33607.86026732925,,33684.80859375,,0
2021-05-20,,33692.15990929231,,33833.306709309705,,33273.56320304714,,33334.1640625,,0
2021-05-21,,33559.41061117683,,34694.04585712463,,33559.35983051722,,34606.49609375,,0
2021-05-24,,34868.895395061714,,35215.69214444862,,34527.89935948564,,34943.1953125,,0
2021-05-25,,35094.59263014522,,35125.44383453163,,34409.99901424842,,34661.59765625,,0
2021-05-26,,34756.74524752426,,34897.54439545662,,34462.10022800593,,34683.796875,,0
2021-05-27,,34663.79795616114,,35220.39307560493,,34529.29951309363,,35094.64453125,,0
2021-05-28,,35345.2358979224,,35436.23483580858,,34976.79097955708,,35141.0390625,,0
2021-05-31,,35097.040158559794,,35583.886046812884,,34929.69445274396,,35526.234375,,0
2021-06-01,,35639.336332065526,,35713.48390893011,,35240.79017676488,,35336.7890625,,0
2021-06-02,,35271.19259065426,,35415.440918085216,,35069.89414347326,,35373.33984375,,0
2021-06-03,,35536.03646352532,,35723.2842886199,,35412.588678635795,,35648.5859375,,0
2021-06-04,,35657.4371502714,,35810.48224657488,,35175.73962358024,,35291.23828125,,0
2021-06-07,,35460.39042651194,,35545.440223548656,,35338.141841197044,,35443.23828125,,0
2021-06-08,,35433.39049599529,,35449.08953296525,,34962.24360768205,,35084.89453125,,0
2021-06-09,,35113.84008738201,,35402.03594178573,,34640.7948283768,,34800.09375,,0
