Date,Open,High,Low,Close,Volume
2020-12-03,1622.5417472307383,1636.8582920592448,1597.917243522371,1614.3336181640625,337606
2020-12-04,1614.9063362955865,1619.630749718645,1574.8200087988876,1593.7178955078125,311097
2020-12-07,1603.405229190677,1642.584886241552,1595.9606958924935,1620.728271484375,500920
2020-12-08,1624.4505391945515,1646.4025735079915,1603.452941155609,1609.752197265625,289588
2020-12-09,1617.769674903869,1622.5418568357388,1574.8200375170406,1581.9305419921875,344622
2020-12-10,1589.136366196378,1591.0452387083258,1525.1891370461335,1537.024169921875,314240
2020-12-11,1549.050001128838,1567.947885084203,1523.3279913363456,1532.681396484375,253651
2020-12-14,1540.364709565749,1560.5032914317956,1517.553659557526,1527.2412109375,256187
2020-12-15,1527.097975299337,1569.0931696200685,1514.213086132749,1561.8394775390625,361310
2020-12-16,1567.18437976629,1582.407591906727,1565.7527253389762,1574.0562744140625,197921
2020-12-17,1576.9195946829534,1583.4098080704223,1548.6683037478006,1556.3515625,154635
2020-12-18,1563.3665527338758,1588.1818948407629,1555.7310628548337,1561.5531005859375,317785
2020-12-21,1565.2755584487477,1569.0933037132568,1401.1125120748547,1480.855712890625,373609
2020-12-22,1478.6125539656032,1584.364134356075,1436.4265194011402,1576.0128173828125,762144
2020-12-23,1584.8414536530229,1725.1435877614206,1584.8414536530229,1704.7186279296875,2102831
2020-12-24,1708.440995673065,1717.9853587773837,1657.951291549551,1679.473876953125,531128
2020-12-28,1693.1699464518008,1794.3401912792476,1681.716711188316,1754.0152587890625,1200589
2020-12-29,1781.9325219834811,1801.975683719771,1755.685524471673,1770.57470703125,503379
2020-12-30,1770.479320696668,1775.2515021540714,1738.0284867863247,1767.281982421875,245023
2020-12-31,1771.8155847419498,1786.70476783894,1720.6100535372057,1751.677001953125,403744
2021-01-01,1759.02621484454,1789.5681784229585,1753.2995966735864,1782.83935546875,254672
2021-01-04,1795.2469479692045,1808.656824857101,1781.6939988401016,1795.39013671875,400879
2021-01-05,1799.112486055186,1880.2395742857916,1795.3901610582311,1868.69091796875,1115371
2021-01-06,1877.376209251016,1926.3864901410304,1858.4306719255185,1903.7186279296875,770176
2021-01-07,1921.805224266802,1942.23006751664,1899.3282031984809,1907.870361328125,349121
2021-01-08,1918.1306747232836,1959.266974373296,1917.9876024782984,1950.1998291015625,381158
2021-01-11,1986.9455523833076,2042.493698899577,1975.6831573467875,2021.066650390625,998505
2021-01-12,2044.402565020156,2056.810236983397,1932.733517350988,1992.4813232421875,851419
2021-01-13,2052.2763908557586,2314.221353191094,2042.5411884477037,2263.779541015625,5367427
2021-01-14,2289.644909392231,2457.6734661783626,2168.6701086784037,2376.689453125,7133891
2021-01-15,2343.141031435616,2414.723751336908,2176.162453415869,2250.369873046875,2527962
2021-01-18,2246.742976838804,2429.040304186387,2224.456796754828,2376.35546875,3555792
2021-01-19,2395.6352003009697,2603.654552863209,2395.6352003009697,2551.82861328125,1820336
2021-01-20,2581.797983875617,2696.282572519619,2569.819761596132,2660.4912109375,2182038
2021-01-21,2700.100215005896,2719.188940456627,2414.676001100508,2460.155029296875,1796081
2021-01-22,2483.395439690214,2543.52492551296,2425.222594850749,2448.9404296875,1010123
2021-01-25,2489.1697223272818,2496.7096754420845,2298.282473682552,2365.808837890625,803876
2021-01-27,2386.090821541384,2556.934924363747,2386.090821541384,2537.416748046875,2455892
2021-01-28,2481.5344296416943,2505.3953376190184,2418.159951260593,2472.753662109375,1044115
2021-01-29,2502.5316877388345,2610.382977103628,2502.4361509132686,2568.006103515625,1660864
2021-02-01,2588.192632747635,2877.625440300219,2567.433643252932,2815.396240234375,1959862
2021-02-02,2844.2205917927213,2911.031142606644,2705.8273079638807,2730.83349609375,1460823
2021-02-03,2762.377201800307,2806.0426615851784,2711.553469919555,2745.2451171875,782021
2021-02-04,2758.320970195007,2766.910897091808,2689.3151775207025,2699.241455078125,547153
2021-02-05,2733.0762687360857,2733.0762687360857,2672.4217918219324,2689.363037109375,501301
2021-02-08,2710.5992617793413,2756.2213663802327,2673.376243747864,2712.41259765625,453001
2021-02-09,2721.0977907273573,2819.21388534429,2692.703311851826,2741.188720703125,880429
2021-02-10,2731.596300905974,2743.8608988179567,2681.9656203863688,2694.65966796875,436432
2021-02-11,2702.915583107249,2734.507514921025,2699.145606674383,2705.82666015625,299527
2021-02-12,2720.1429437826805,2746.867155160194,2678.1477544751583,2707.54443359375,340690
2021-02-15,2721.097747970868,2776.455050455017,2694.37353297852,2728.49462890625,487626
2021-02-16,2744.004368672108,2785.9995659665683,2730.976406354474,2754.646240234375,582775
2021-02-17,2758.3205974162543,2759.275033609132,2662.8769781284946,2686.06982421875,285375
2021-02-18,2708.6903705601617,2708.6903705601617,2610.3834261740813,2622.8388671875,383423
2021-02-19,2622.8387754641844,2678.6255317581454,2552.305791614652,2615.728271484375,363313
2021-02-22,2606.8994312036407,2615.7279661319626,2496.900658177792,2545.29052734375,400066
2021-02-23,2557.8418586021703,2628.51792269855,2557.8418586021703,2592.86962890625,387311
2021-02-24,2607.663188856175,2609.6675984043145,2538.991539855529,2572.158203125,120330
2021-02-25,2591.2943587011896,2624.69962667708,2543.5725473070606,2556.40966796875,286447
2021-02-26,2538.80072426959,2581.7503605824213,2488.2155970567,2536.748779296875,335482
2021-03-01,2559.606814498453,2585.4243579589506,2482.917779610701,2502.674560546875,307428
2021-03-02,2525.199854668315,2526.345131631304,2452.901304544106,2468.267822265625,419330
2021-03-03,2489.169678741065,2498.2368228929213,2434.76681382993,2446.12451171875,468002
2021-03-04,2445.2656289629704,2622.409087015663,2425.318004899795,2554.97802734375,1399557
2021-03-05,2572.1583272164257,2643.7888255740368,2563.1389498480416,2593.25146484375,668550
2021-03-08,2608.474307516655,2637.8232226122045,2568.387984459319,2588.860595703125,277447
2021-03-09,2604.4658568631285,2612.864943018753,2481.582181595264,2533.3603515625,559564
2021-03-10,2557.889335050781,2610.3833325984656,2541.5208453857663,2573.685302734375,526950
2021-03-12,2574.210403337071,2642.834284509682,2562.6616301583595,2603.129638671875,596476
2021-03-15,2616.157939572958,2641.3071988909187,2569.342787571993,2592.6787109375,379824
2021-03-16,2605.6110263526,2693.4191635044094,2594.1577910719293,2645.17236328125,516196
2021-03-17,2658.391369066352,2708.2128953752976,2578.314026816886,2631.3330078125,720780
2021-03-18,2658.868271673477,2675.2367584294725,2525.9630378659467,2552.830322265625,424345
2021-03-19,2553.1172471120203,2664.404619202158,2486.3067023277804,2638.682373046875,504188
2021-03-22,2605.6109859786143,2648.4650807830985,2578.218711960121,2598.6435546875,256006
2021-03-23,2619.7369275514616,2636.630404262312,2596.0668595813536,2608.28369140625,161213
2021-03-24,2611.289678476647,2614.7735104215603,2529.2559335740566,2546.578857421875,184625
2021-03-25,2555.9804214866263,2565.5247845242907,2463.161490945336,2484.8271484375,279606
2021-03-26,2505.681409107394,2575.927773803669,2496.375656132718,2529.44677734375,322427
2021-03-30,2557.507485801957,2591.008058590889,2500.622991715056,2566.097412109375,337713
2021-03-31,2576.9782517285853,2628.517816763157,2544.9568642565446,2570.20166015625,428056
2021-04-01,2583.6591482451468,2669.558418042732,2581.7502755829782,2645.697509765625,579333
2021-04-05,2653.3328819493154,2741.1410204886456,2629.471974737541,2725.67919921875,862892
2021-04-06,2757.3666501232947,2771.68319555488,2717.9961501864354,2745.6748046875,516047
2021-04-07,2750.685277501161,2838.4934126608096,2710.598954928278,2812.15087890625,756763
2021-04-08,2817.8301990535074,2863.3089970838496,2777.409727171334,2829.85595703125,505478
2021-04-09,2796.4984193359114,2976.886883927886,2796.4984193359114,2960.27978515625,854663
2021-04-12,2965.481323497097,2973.069045404506,2764.0474977500644,2783.85205078125,538437
2021-04-13,2786.9542278302797,2813.344300513844,2674.426271906412,2698.334716796875,278729
2021-04-15,2696.282426795339,2817.4958314689698,2693.9441045683534,2794.4462890625,311649
2021-04-16,2804.133798088507,2932.982696230763,2796.5938446631467,2828.75830078125,293199
2021-04-19,2777.4097629988305,2922.484087389148,2705.8270371483454,2910.649169921875,373510
2021-04-20,2928.2105845002966,2982.422613241708,2834.6758265860108,2863.21337890625,233828
2021-04-22,2861.3999348659327,2925.3471648979603,2854.71888098199,2909.21728515625,207737
2021-04-23,3006.474438058487,3187.8173406715387,2984.95185222397,3040.5,1588841
2021-04-26,3115.2799436902897,3120.863489001915,3020.790754221742,3056.916259765625,274316
2021-04-27,3049.4239307794046,3062.738270352713,3011.2464793768454,3030.335205078125,140044
2021-04-28,3043.697412413024,3163.956388256247,3039.975203986452,3146.29931640625,284177
2021-04-29,3168.7284873025883,3240.263440736401,3121.102209570583,3230.48046875,310112
2021-04-30,3225.994529443004,3359.2339233331727,3168.7283543641333,3321.53369140625,287367
2021-05-03,3316.6659479188297,3392.9730790237304,3293.5208690016984,3374.361572265625,172837
2021-05-04,3413.732289446677,3903.64449197432,3348.353402478403,3671.668701171875,1019657
2021-05-05,3718.3881701793134,3766.1577520844944,3630.1028152258486,3669.282470703125,326692
