Date,Open,Open.1,Open.2,Open.3,High,High.1,High.2,High.3,Low,Low.1,Low.2,Low.3,Close,Close.1,Close.2,Close.3,Volume,Volume.1,Volume.2,Volume.3
2020-12-01,352.0218131196166,,133.64751755472892,109.1304360813112,364.2702551025218,,139.7665414777508,118.99217884215022,345.077809416596,,133.64751755472892,106.47892371286036,362.1484680175781,,136.26995849609375,116.85236358642578,1159538,,194768.0,1776385.0
2020-12-02,366.4885064648704,,136.94985070528654,114.99164778562522,370.3462802171322,,137.72687409891776,116.247623117047,353.3720698206847,,132.5305440482168,111.73541176444148,359.3998413085937,,133.21043395996094,112.5727310180664,768782,,80223.0,351659.0
2020-12-03,360.1231796147079,,135.68716618856115,113.92174724907976,362.29317738486776,,135.97855176358033,114.43344435165346,347.2478536252634,,133.74461544908144,112.57273793943146,350.5751953125,,134.1816864013672,112.99139404296876,488690,,51206.0,166852.0
2020-12-04,352.8898477227288,,134.81303981767914,112.57274413842794,356.31363958367155,,136.80415751916746,115.36380391045508,348.1640807677781,,133.1618744629648,111.78194528929332,349.0320739746094,,134.57022094726562,112.7588119506836,847424,,102963.0,191822.0
2020-12-07,352.69694340854863,,135.49292474043995,113.36353273819016,358.48360348460375,,144.23440375595223,116.29414665346371,351.6360498414435,,133.89032618245758,113.08443104504067,354.28826904296875,,143.0203094482422,115.27075958251952,189840,,570017.0,255419.0
2020-12-08,360.17139913933846,,142.48610159435177,115.31728246346766,365.0418265314302,,143.70019587313882,117.22450946460458,355.49384276756587,,136.60988232092504,112.15408709284836,357.6156005859375,,137.87254333496094,113.59613037109376,406677,,120785.0,163126.0
2020-12-09,361.5698033796692,,137.7268785939633,115.22425315075397,365.524026972196,,140.73782396438207,116.75933749358283,356.89224727994167,,137.14410732459766,113.82872322055178,358.0495910644531,,138.79527282714844,114.61952209472656,368629,,85320.0,174310.0
2020-12-10,358.772912551071,,137.62974080251237,115.17773862475792,360.6053489598639,,138.94096870731278,115.45684034926384,354.91513929783366,,133.06474873694836,111.64239333009212,357.22979736328125,,133.5989532470703,112.89836883544922,262538,,99838.0,117441.0
2020-12-11,356.84404419943166,,133.64751294331256,113.50309719547477,359.73737428753515,,136.56133940439798,115.08469489095296,351.973616990781,,125.39167130357058,111.73542459003716,353.9507141113281,,128.3540496826172,113.17747497558594,286837,,335605.0,104393.0
2020-12-14,371.2624880721104,,131.02505743553985,113.50308741595693,371.2624880721104,,131.3650097846194,114.47996108948716,344.30628403373385,,125.294537983112,112.57273424041628,354.9151611328125,,129.51959228515625,113.36353302001952,952693,,112882.0,105064.0
2020-12-15,356.554752179804,,130.05379049001615,113.92174024477288,363.2576164403262,,133.06475062953697,114.293882923943,353.613182023047,,128.3055063527344,111.8284456597262,357.7120666503906,,132.4819793701172,112.5727310180664,439639,,84828.0,102477.0
2020-12-16,359.44806512580425,,133.06475472648592,113.17747744933978,365.0418250443787,,134.03603030843107,116.52674782346158,358.29072127869665,,128.30551030315036,112.57274640031018,363.2575988769531,,131.80209350585938,113.31703186035156,229312,,57253.0,291594.0
2020-12-17,365.958085682946,,131.8020960292213,113.45657644421712,366.4885178173216,,133.93889938631207,118.66656034312004,354.7222957354582,,129.47104051612038,112.75881150397464,358.3389587402344,,129.90811157226562,114.6660385131836,158808,,54736.0,287019.0
2020-12-18,359.1587145977235,,131.6078167849635,114.52648254449224,361.6180629157346,,131.6078167849635,115.41032238223823,352.6005112813138,,127.57702980055586,112.57274215804983,357.0369567871094,,130.3937225341797,113.6891632080078,345587,,51108.0,162616.0
2020-12-21,352.9862299058724,,132.09346376616378,112.71227484444276,357.6155457382064,,132.09346376616378,114.20083832355508,306.2589426166553,,116.55305626426215,103.2226693562944,347.4888916015625,,119.70970153808594,105.3159637451172,595077,,140669.0,212501.0
2020-12-22,341.4129641304592,,119.46687565319152,105.31597754819413,347.05496391572063,,121.40942647682066,107.92096930158289,325.4031977790892,,113.15358547639686,100.29207603499393,335.3851928710937,,113.6877899169922,104.01348876953124,543884,,277753.0,154578.0
2020-12-23,335.6262668520084,,116.11599612663362,102.99010642853594,352.98624617193985,,121.06949999907182,109.31651164372622,335.6262668520084,,114.2220043390654,102.99010642853594,349.6589050292969,,120.3896026611328,107.26973724365234,390144,,174293.0,135177.0
2020-12-24,347.68183231374,,121.36086859312294,107.78141677182047,356.6029334202645,,124.27469504107542,109.13043317028183,347.48893186817617,,120.4381598487022,104.9903571725604,352.0700378417969,,121.31230926513672,106.80455017089844,165476,,108455.0,97738.0
2020-12-28,353.85428926643493,,124.32326320939336,106.19981989717742,361.5698367213912,,127.139956213286,114.24737654964392,352.07006303098075,,122.38071222174658,106.19981989717742,356.55474853515625,,124.0804443359375,112.99139404296876,277844,,103474.0,321676.0
2020-12-29,358.2906933167287,,124.32326852984106,114.8055812779567,360.02667951943243,,127.5770475015909,120.48073413011656,354.9151416973248,,124.08044964599372,112.99138835849138,355.92779541015625,,125.1974105834961,119.5038604736328,109033,,165806.0,2230717.0
2020-12-30,356.361821343702,,127.04284745146808,120.0155598080971,358.6764795200618,,127.04284745146808,120.0155598080971,349.32139659217523,,122.86635953862644,115.8289705124658,353.7578125,,123.74050903320312,117.82923126220705,106541,,64208.0,204752.0
