Date,Open,Open.1,High,High.1,Low,Low.1,Close,Close.1,Volume,Volume.1
2021-03-26,73.35352714051925,,80.34666590372719,,72.31200082692585,,74.59344482421875,,51421860,
2021-03-30,75.33738029615324,,77.27165603476546,,69.08820096673139,,70.27851867675781,,11091947,
2021-03-31,71.17127366526765,,71.17127366526765,,67.10434525510942,,67.55071258544922,,4659613,
2021-04-01,68.0466781558344,,72.16320620917298,,67.64990299987586,,70.8240966796875,,7403570,
2021-04-05,70.92328998694926,,70.92328998694926,,67.99708734330176,,69.33619689941406,,2399032,
2021-04-06,69.732970091691,,70.67530445731254,,68.54264463380126,,69.78256225585938,,2379469,
2021-04-07,69.98095559468496,,70.32813102510566,,69.23700500041626,,69.33619689941406,,1625067,
2021-04-08,71.32005586711742,,74.39504974292029,,70.82408886883128,,72.26239013671875,,4824848,
2021-04-09,72.41119062396842,,72.51038252221073,,69.88175559557752,,70.42732238769531,,2357516,
2021-04-12,70.32812565024133,,70.32812565024133,,67.4515153920108,,67.79869079589844,,2042113,
2021-04-13,68.44344461092842,,69.28658698024553,,67.50111035719559,,68.74102783203125,,1439847,
2021-04-15,68.44345092773438,,69.28659337486707,,67.99708362273952,,68.44345092773438,,896321,
2021-04-16,68.443453066103,,69.13780391064546,,68.24506927276418,,68.3442611694336,,909629,
2021-04-19,67.25313292212395,,67.25313292212395,,65.17006532241908,,66.310791015625,,1228866,
2021-04-20,66.65796771302227,,67.79869342824817,,66.26120013194935,,66.6083755493164,,797720,
2021-04-22,66.45958582565952,,66.608377456751,,65.86442686915034,,66.16200256347656,,851612,
2021-04-23,66.06280345432779,,66.16199534160931,,64.97167755851926,,65.07086944580078,,1823091,
2021-04-26,65.36845547199636,,66.45958141448381,,63.23579574885586,,63.33498764038086,,2193105,
2021-04-27,63.483777782830906,,64.27732803225871,,60.70636326161766,,60.90475082397461,,3532919,
2021-04-28,61.05354098689172,,62.392654245940165,,60.11120286769352,,61.15273666381836,,4057145,
2021-04-29,61.499912931481184,,62.34305538551892,,60.60717074632388,,60.75596237182617,,1938409,
2021-04-30,60.50797698393866,,60.706364550507686,,59.268059422792376,,59.41685104370117,,2347572,
2021-05-03,59.21846716266971,,59.21846716266971,,58.07774142184935,,58.17693710327149,,1696511,
2021-05-04,58.17693797505687,,60.21040217557801,,57.631371178880606,,57.7801628112793,,2298017,
2021-05-05,58.02814186288284,,59.020075911821,,57.53217483841375,,57.63136672973633,,1580604,
2021-05-06,57.97854508312993,,58.32572048169251,,56.14346484863731,,56.24266052246094,,2238052,
