Date,Open,Open.1,High,High.1,Low,Low.1,Close,Close.1,Volume,Volume.1
2020-12-01,2382.2018042299587,2249.2191125378345,2382.2018042299587,2313.358755159129,2340.270427062011,2219.36633636516,2345.672119140625,2298.383056640625,52116,852245.0
2020-12-02,2350.4134326989897,2291.978825429284,2360.8282038535604,2293.653696257819,2330.127721861061,2224.735756370179,2344.467529296875,2267.446044921875,50780,444979.0
2020-12-03,2351.112681449624,2297.348572496636,2388.7693077689005,2315.329321482617,2345.67209012065,2245.3768185782487,2372.13671875,2299.07275390625,83946,433819.0
2020-12-04,2384.533296911123,2298.0871701796405,2384.533296911123,2343.605504606655,2348.975148823221,2261.1404311092283,2364.55859375,2334.78759765625,47866,505417.0
2020-12-07,2382.201821736621,2310.4030362826343,2385.271831810817,2363.8526587638,2358.885001295479,2298.3337666901134,2371.3984375,2326.068359375,62618,342050.0
2020-12-08,2386.087784449995,2610.903026672593,2438.162012970565,2610.903026672593,2369.8049106467265,2315.329099124752,2423.43359375,2322.176513671875,152547,660923.0
2020-12-09,2438.861496438353,2315.3293781446446,2479.3940144448597,2362.5719018164928,2431.089223350175,2274.9342698451,2455.3388671875,2295.033203125,130251,272136.0
2020-12-10,2460.7019188176528,2300.353610120468,2460.7019188176528,2301.8807903256547,2398.5237275651534,2268.628720461885,2435.28662109375,2282.914794921875,44636,129081.0
2020-12-11,2452.1133704129484,2282.91449740895,2452.1133704129484,2338.8272298191737,2417.993165920656,2247.347006655877,2434.1982421875,2270.992919921875,35009,338616.0
2020-12-14,2462.9948948448327,2282.224712494265,2463.811021619588,2329.122538330952,2424.9496490388374,2256.214303205533,2435.4033203125,2301.486328125,37811,324162.0
2020-12-15,2439.250070469518,2305.4769024595826,2448.2659830064545,2333.9997416707324,2408.821697724684,2280.8457389717664,2435.51953125,2313.26025390625,81649,304439.0
2020-12-16,2447.566848377873,2325.18208665506,2447.566848377873,2343.11352752067,2413.291044596978,2248.332848197816,2418.84814453125,2258.283935546875,65304,313387.0
2020-12-17,2436.52986228852,2258.776391781999,2455.261116699425,2279.2202581926263,2411.347772890145,2207.937572347795,2436.1025390625,2231.5341796875,27785,373473.0
2020-12-18,2439.98888287156,2241.68219333757,2481.1819345444965,2325.181837721861,2414.3790885670096,2194.144047714655,2461.945556640625,2258.332763671875,114155,1345227.0
2020-12-21,2471.5827955513378,2254.047196672483,2485.067765006785,2279.515676700332,2380.841508953659,2160.2517694137773,2411.036865234375,2192.91259765625,59729,344478.0
2020-12-22,2402.409677734851,2202.026043532624,2438.1621349253405,2235.524426297773,2356.203550903348,2136.014524554241,2419.353271484375,2192.124267578125,24201,283889.0
2020-12-23,2439.716728551446,2194.1444128884777,2454.367540461857,2211.8788535853764,2408.200120564968,2177.296598010926,2443.6806640625,2186.163818359375,65530,162673.0
2020-12-24,2455.7274225625933,2201.926904400208,2543.087694099379,2229.0704886245258,2449.0431919642856,2177.3943672471373,2502.671875,2194.1435546875,137758,135757.0
2020-12-28,2510.4442808604763,2216.804453850119,2522.1026908335125,2216.804453850119,2456.388082001612,2186.114123960065,2473.0595703125,2191.72998046875,131011,131514.0
2020-12-29,2483.241213513614,2213.848781422237,2527.9317830838904,2213.848781422237,2483.241213513614,2158.1823567892347,2496.764892578125,2178.626220703125,69539,183762.0
2020-12-30,2509.472654738977,2188.527851593248,2517.050620943764,2197.0994470682467,2488.6818243822545,2167.5420554036514,2506.674560546875,2177.2958984375,32849,111539.0
2020-12-31,2506.5581149683853,2182.222034699876,2516.7009694771823,2191.926807419704,2476.2462493920234,2157.837187645763,2496.8427734375,2162.6650390625,41960,270369.0
2021-01-01,2480.909796597292,2171.483166210118,2525.988984630701,2246.2632752193945,2480.909796597292,2164.685061950614,2520.431884765625,2231.090576171875,32142,210803.0
2021-01-04,2529.875174320192,2241.43577834981,2650.345420716392,2265.0816942532806,2526.1444448683337,2218.578107750861,2619.683837890625,2225.27783203125,181968,324319.0
2021-01-05,2620.810422840093,2229.612685265769,2696.201469997712,2236.5094103196184,2607.986172550396,2211.927559842564,2680.268310546875,2217.1494140625,126841,343002.0
2021-01-06,2680.2684357753683,2227.0020912107707,2704.751096563225,2256.2145546217234,2590.7318857017594,2183.5033125702785,2615.3310546875,2196.26220703125,65935,640965.0
2021-01-07,2641.2126069232663,2207.9370085743844,2658.1173002803125,2226.361066696168,2572.6222993941037,2147.836982905916,2584.397216796875,2155.324951171875,54859,711511.0
2021-01-08,2618.051252410554,2164.5862922074302,2618.051252410554,2324.196205424364,2569.163731297091,2160.497615954685,2597.804443359375,2305.131591796875,103532,831643.0
2021-01-11,2650.345418573386,2329.0237858865053,2665.8121678422467,2364.591275876615,2588.206126255631,2250.3026975425787,2606.04345703125,2297.988525390625,120399,336860.0
2021-01-12,2618.4786020300176,2297.594997539101,2747.4983253713604,2297.594997539101,2590.498421064425,2247.150421344098,2692.8203125,2252.02734375,236200,328349.0
2021-01-13,2717.963905436447,2256.214256479266,2752.939134416899,2269.8600153376337,2689.983722252085,2218.3315804989534,2705.761474609375,2223.2578125,107329,413318.0
2021-01-14,2726.5916405440994,2216.805036818151,2732.304148339505,2223.1105193740486,2658.1178276215046,2185.47414419004,2673.23486328125,2206.312255859375,44550,251062.0
2021-01-15,2692.2377534418665,2206.952249356836,2692.2377534418665,2264.0965486705395,2608.0252835557453,2186.311382453852,2626.873046875,2205.6220703125,45784,297883.0
2021-01-18,2634.800734340545,2205.62179990918,2634.800734340545,2209.316473980816,2529.1756126614537,2136.950172605445,2571.37890625,2171.039794921875,69955,318348.0
2021-01-19,2595.939362462556,2177.591459494048,2646.4591404745515,2216.262379172525,2568.736405071481,2172.468226523358,2613.73779296875,2197.29638671875,43406,207879.0
2021-01-20,2627.028314414847,2197.5922591138024,2654.542085357022,2211.878332979371,2574.837576318035,2170.645671848444,2599.8642578125,2185.9169921875,55328,244528.0
2021-01-21,2617.6237997835465,2192.4690452774034,2642.533973194087,2210.54817390528,2595.9392335837574,2179.3652189544327,2603.672607421875,2183.798828125,59441,268787.0
2021-01-22,2603.711388378091,2183.3065681281832,2633.24602502238,2189.464359667353,2553.191615170755,2118.280289474546,2576.236328125,2123.009521484375,43624,352362.0
2021-01-25,2603.711700321548,2122.220660321119,2603.711700321548,2131.580500745005,2539.2018283434318,2032.1692391951956,2577.2470703125,2098.96875,42369,227396.0
2021-01-27,2551.987016083993,2098.5750100938053,2596.366772134141,2118.5262513869507,2494.8997071528097,2037.4897281098545,2528.981201171875,2062.514892578125,76931,204925.0
2021-01-28,2504.1485748578525,2044.3863991376488,2552.3755670216306,2051.086123155813,2495.715772461104,2000.0503085539408,2541.494384765625,2039.115234375,17738,200506.0
2021-01-29,2582.648727456745,2055.3226221524637,2582.648727456745,2085.1263259104776,2487.90478785052,1958.177230381945,2501.545166015625,1988.9168701171875,78976,509795.0
2021-02-01,2501.117569364222,2015.8637366943303,2549.888584739488,2018.7208554525291,2473.9146125812053,1961.6751768486463,2525.328125,1969.754150390625,38306,386676.0
2021-02-02,2556.300961210678,1989.459125864566,2587.3900577288982,2057.638140037288,2494.9388949083977,1951.773444763009,2549.927734375,2033.1549072265625,32943,730737.0
2021-02-03,2564.6560753467265,2122.2210345361104,2601.380069455412,2270.0080146570094,2527.54346754377,2113.452436597752,2568.85302734375,2216.952392578125,37822,1990754.0
2021-02-04,2581.755066514404,2235.523812683625,2599.0483758332703,2305.377677825272,2550.083050570861,2155.718863883548,2565.044677734375,2218.47900390625,16158,1232639.0
2021-02-05,2583.503798854998,2224.6862902188127,2584.2032275925662,2260.1551593277045,2550.860249049971,2184.340499715181,2559.487548828125,2213.35595703125,18239,296164.0
2021-02-08,2580.39463795472,2220.7457617277328,2602.1570023712056,2256.2146381350967,2510.4441809017308,2190.203118154725,2516.506591796875,2203.89794921875,60437,298374.0
2021-02-09,2536.8308725788747,2220.59780978607,2539.7843741118973,2221.632126128665,2496.4539544479885,2167.5421921846223,2511.182373046875,2190.005859375,26432,538995.0
2021-02-10,2520.3932038760163,2197.099318600689,2523.7740294198543,2208.577342143836,2474.8864988892738,2170.49766765799,2485.41796875,2196.656005859375,68172,150288.0
2021-02-11,2487.9045323207524,2195.1274347911026,2508.8896689570097,2211.899194967035,2479.3550322096844,2178.552941268205,2500.30126953125,2198.284423828125,19425,94325.0
2021-02-12,2510.444336402669,2204.006363456812,2510.444336402669,2228.6707139878863,2479.3552424534096,2185.2614570531955,2483.785400390625,2195.127197265625,28282,135102.0
2021-02-15,2508.500938806809,2204.9927145353217,2517.400152831268,2229.65706257263,2457.592554146284,2170.462627283091,2462.64453125,2181.51220703125,50776,255157.0
2021-02-16,2463.810674849808,2187.431746553273,2479.4717298945125,2229.163873436322,2425.726535080836,2180.57510567056,2436.37451171875,2196.80419921875,53701,293562.0
2021-02-17,2447.488959895624,2195.127079741765,2448.188388619445,2219.7914289523465,2382.20186156878,2183.2388152497074,2402.06005859375,2193.252685546875,69727,503596.0
2021-02-18,2424.94930962292,2199.073300006029,2424.94930962292,2263.546002970877,2370.54339562497,2187.3823025370643,2385.854736328125,2237.056396484375,78656,391250.0
2021-02-19,2398.3290830733813,2246.478361609753,2398.3290830733813,2258.9090494186885,2365.957642711012,2212.836092063253,2370.0380859375,2230.249267578125,26720,163921.0
2021-02-22,2389.1967821641874,2238.881708521011,2434.4313742468016,2239.029598269637,2278.092174698224,2188.22103941928,2309.841796875,2204.89404296875,158730,136301.0
2021-02-23,2335.4903811428358,2205.9798160089067,2349.8690870749174,2239.5233373614574,2316.487210442611,2204.9932418514786,2336.57861328125,2228.769775390625,27359,223161.0
2021-02-24,2360.0507357734,2232.6168399252456,2369.5328710408403,2232.814106541901,2327.795802285965,2177.3686989460966,2360.90576171875,2222.060546875,17567,79895.0
2021-02-25,2371.1262673344536,2210.9123344082814,2448.266079522586,2249.3887204153866,2335.645915765653,2181.315114402816,2346.410400390625,2186.69189453125,134862,398066.0
2021-02-26,2335.956655695473,2170.462809683807,2376.761089042341,2213.47753262084,2317.808322296286,2108.407401152056,2365.569091796875,2147.870361328125,37277,332076.0
2021-03-01,2370.5434530432262,2121.972795894748,2462.839202239581,2166.516515894176,2370.5434530432262,2121.972795894748,2450.403564453125,2145.50244140625,85714,236941.0
2021-03-02,2463.8106854931984,2154.677811520472,2525.017338957738,2288.851887695739,2463.8106854931984,2141.013664035438,2485.45654296875,2244.6533203125,89148,651820.0
2021-03-03,2491.868636707526,2255.604076179559,2588.167027692641,2298.7173097390178,2473.331688851323,2239.5228725783563,2509.00634765625,2248.648681640625,101246,389444.0
2021-03-04,2514.330459359841,2242.482489557435,2549.3056898609825,2296.5467878081886,2479.3552288587,2198.234553504165,2527.8154296875,2237.697509765625,42301,338416.0
2021-03-05,2549.033415992892,2239.5233287348647,2549.033415992892,2326.292477373854,2483.241201531052,2198.136591162749,2490.275146484375,2232.913330078125,93581,758946.0
2021-03-08,2549.3055418205795,2233.899527108163,2549.3055418205795,2271.192071992184,2467.6966753903475,2214.957354728867,2500.184814453125,2237.9443359375,118220,179847.0
2021-03-09,2508.889541331795,2255.209116602184,2519.965029548641,2262.460530903088,2487.1271785197478,2221.616468966545,2503.759765625,2250.177734375,70687,202692.0
2021-03-10,2507.4906077625205,2249.3888386952185,2542.0772216532378,2274.0531899967013,2480.909472790318,2235.8234454794037,2488.33203125,2259.106689453125,30154,112612.0
2021-03-12,2483.241257682111,2269.1196441645834,2518.2164866635494,2283.424963660404,2452.1521652541664,2203.364599516821,2482.5029296875,2218.26171875,44753,99943.0
2021-03-15,2487.205497268571,2219.791898708787,2499.874152181224,2221.1238701931466,2421.451982835009,2163.8531910338925,2448.072021484375,2204.697265625,51716,146902.0
2021-03-16,2448.071789244113,2207.5084821654327,2560.6143448810053,2239.522757106583,2448.071789244113,2190.19406201613,2531.85693359375,2207.3603515625,240323,160126.0
2021-03-17,2553.347171915381,2204.9927868780323,2673.661999859617,2226.6974138629616,2449.0433027783874,2181.315011985382,2492.490234375,2211.405517578125,487790,154696.0
2021-03-18,2533.760981828017,2224.427999979828,2545.4193912536066,2227.6837418406312,2375.362021148462,2114.1289959446626,2424.560546875,2134.353759765625,96127,177634.0
2021-03-19,2428.835193666443,2116.201300162175,2549.3054192722984,2274.546432412072,2349.1693993141835,2094.4966714425627,2491.1298828125,2248.303466796875,119891,520752.0
2021-03-22,2506.5582218050367,2258.2678671960816,2530.3025554691244,2279.725851517408,2473.448260555433,2214.8586115575376,2504.654052734375,2267.09765625,57361,254354.0
2021-03-23,2505.0036343593024,2259.3533093828983,2562.1298419688,2296.6949923458856,2481.0260958084973,2259.2545556336013,2488.99267578125,2270.748046875,68753,434174.0
2021-03-24,2487.127334622512,2254.3214393710314,2529.835936371181,2288.9009039330635,2475.4689252414687,2251.707114790832,2481.99755859375,2274.102294921875,46789,218205.0
2021-03-25,2495.0547393571305,2269.1200051758706,2495.0547393571305,2283.81986016864,2424.171656103248,2224.724178987647,2447.60498046875,2263.49658203125,36078,246052.0
2021-03-26,2455.261007486568,2273.3625422107048,2478.383519348779,2295.9549907223645,2387.5644346712265,2234.590135397474,2428.174560546875,2242.236083984375,75736,198453.0
2021-03-30,2428.835562497673,2244.4560536671584,2912.2709928572094,2272.277394819173,2413.6407292681315,2239.6219369736164,2608.9580078125,2244.6533203125,381370,231738.0
2021-03-31,2603.711503080349,2244.948694842531,2615.642018256762,2269.1197530818818,2479.355132783974,2198.086439072362,2486.311279296875,2227.83154296875,248064,205626.0
2021-04-01,2510.444169922661,2223.93531216382,2541.533261810248,2273.0667510491653,2475.468941549125,2203.6611660164035,2494.2001953125,2219.594482421875,110273,179555.0
2021-04-05,2510.444367089836,2216.83178722158,2518.216640672157,2225.2670431292267,2465.7148946730213,2175.987719796793,2484.096435546875,2181.759033203125,103398,129132.0
2021-04-06,2498.008485804749,2189.3064294565047,2578.6847156739477,2311.542850020271,2472.2821868544447,2172.288028191951,2555.79541015625,2275.385009765625,156186,334376.0
2021-04-07,2581.055336150461,2308.583227547794,2704.7509841359188,2422.03924086745,2546.080107907324,2292.7486662119254,2578.179443359375,2390.1728515625,131841,1638970.0
2021-04-08,2588.1669909659195,2378.7288634274146,2741.241874598171,2512.804184711788,2580.783331382083,2368.4683484656744,2713.18408203125,2486.807861328125,296046,1021389.0
2021-04-09,2720.2956964114555,2496.0323571143,2774.7016103396845,2633.166150647457,2697.056674791791,2477.484716722866,2729.77783203125,2524.297607421875,142455,748753.0
2021-04-12,2708.6371142759685,2466.5339363016424,2719.090783409208,2488.583722315946,2560.536415744273,2323.8752289978715,2593.490966796875,2432.44775390625,138072,369897.0
2021-04-13,2627.0284605446795,2382.5760589038564,2649.2183394859294,2515.1223637432668,2528.514893274254,2349.081921900517,2560.6533203125,2413.99853515625,86785,378242.0
2021-04-15,2560.65320206256,2413.9984016259577,2595.900347141097,2476.300445983586,2471.5828753698247,2325.847928847133,2551.715087890625,2346.1220703125,63872,387011.0
2021-04-16,2565.1610561136063,2367.7772544519817,2659.633077943808,2476.300378614364,2565.1610561136063,2364.5708894199115,2616.341552734375,2461.84716796875,87205,527928.0
2021-04-19,2494.8995833814697,2398.706765284149,2645.681676582717,2466.4349733060167,2494.8995833814697,2371.7238703310654,2627.999755859375,2444.631591796875,73169,209267.0
2021-04-20,2615.370068331381,2452.622950063926,2644.7104011930483,2563.119237436074,2522.88001242308,2405.810062202481,2562.402099609375,2507.87109375,47588,526983.0
2021-04-22,2561.7411895652094,2504.911251304961,2617.040836248318,2601.5954981060186,2513.5141974846447,2501.951529464112,2549.033447265625,2542.0556640625,53040,788610.0
2021-04-23,2553.191833352302,2541.809240162059,2579.4621556155835,2567.2135214906803,2517.439375411905,2469.444179419376,2539.162841796875,2488.682373046875,43420,304231.0
2021-04-26,2571.0679760624016,2526.616057875243,2581.1719312283058,2526.616057875243,2528.398272070573,2461.4527958711096,2570.71826171875,2475.314208984375,59514,233762.0
2021-04-27,2572.6225474416037,2466.385731094256,2669.6205593863306,2584.823993151487,2568.7364106629907,2453.757535168894,2643.699951171875,2574.1689453125,163311,407603.0
2021-04-28,2673.662107313727,2594.0483897930726,2790.246210830314,2594.0483897930726,2660.760057290116,2508.0189460755305,2761.68310546875,2530.167724609375,221627,263166.0
2021-04-29,2790.168177887211,2533.521841140539,2805.246501194141,2570.222343003197,2677.703426756404,2511.4718175565304,2696.590087890625,2538.35595703125,93539,190906.0
2021-04-30,2696.978935708174,2517.391426415325,2773.885544930047,2561.9353866023243,2672.1076602203752,2465.497779034737,2703.624267578125,2477.928466796875,80880,312484.0
2021-05-03,2696.9788663549243,2485.1801217903444,2759.1570534754987,2518.526374058388,2686.486297278327,2460.170372373609,2704.7900390625,2482.072509765625,73296,154162.0
2021-05-04,2719.051993143743,2483.354355134311,2743.5735531553423,2538.1585825491343,2685.3204031985915,2436.8374928606395,2699.543701171875,2456.07568359375,85717,250300.0
2021-05-05,2716.4092788037274,2476.300512965746,2774.6624240996266,2663.6508020438228,2716.4092788037274,2450.205681230753,2755.115234375,2636.52001953125,57520,571790.0
2021-05-06,2770.038295940487,2670.655465639506,2794.13234396915,2672.825879980588,2700.0878339217875,2572.244722123606,2710.54150390625,2628.33154296875,189190,424676.0
2021-05-07,2739.726417807726,2658.816755220561,2790.2461957247488,2658.816755220561,2702.14739940988,2505.799041534185,2770.893310546875,2524.3466796875,153900,250440.0
2021-05-10,2806.5676714779206,2547.037986866076,2891.285443893067,2693.6923529852097,2798.7176001511966,2526.6159537258163,2837.345947265625,2640.121337890625,268752,623888.0
2021-05-11,2821.335095638658,2605.5418320793005,2948.8003726867955,2697.293210490272,2802.0987199865763,2596.563912685372,2922.1025390625,2662.417724609375,267788,366833.0
2021-05-12,2930.1468831998427,2673.615534219152,2949.5775654491786,2678.5484042084863,2864.1214628671505,2624.2868343258097,2873.681396484375,2642.63720703125,141366,229608.0
2021-05-14,2912.2706591387328,2647.372717243377,2912.2706591387328,2757.474477893664,2843.8746575363284,2609.438993081408,2871.388427734375,2661.234130859375,159660,788764.0
2021-05-17,2908.858925831202,2682.494905358889,2925.2931570505875,2687.378398849264,2867.937649972298,2634.6954396790647,2892.4658203125,2664.14453125,232739,381925.0
2021-05-18,2912.145787350145,2678.696305650789,2940.7825156454014,2732.8099860150123,2872.5804557272127,2661.5300143581226,2910.954345703125,2704.692626953125,92059,364422.0
2021-05-19,2880.098601325185,2565.092458302257,2933.5098450016862,2574.958198526497,2880.098601325185,2509.597669540911,2910.25537109375,2536.77783203125,52782,1626166.0
2021-05-20,2922.006011989343,2564.9444802660696,2991.029776052083,2604.555329557981,2896.080974769337,2532.831448768848,2977.101806640625,2551.822998046875,97218,1403443.0
2021-05-21,3015.4346442773917,2580.3841781131723,3032.0743021129365,2580.581444731525,2982.8127379273737,2521.041851092387,3007.217529296875,2531.006103515625,130557,669931.0
2021-05-24,3015.681163331278,2533.324370058164,3058.6978400071653,2546.7910067116354,2975.0064446432957,2487.1526658905013,3044.97509765625,2515.07275390625,74666,548795.0
2021-05-25,3046.9065004162103,2524.643302926411,3048.549923555593,2541.316310066801,2925.293188101863,2499.041751368247,2954.17626953125,2528.589599609375,79118,213171.0
2021-05-26,2974.5955669382283,2541.6120294651987,2974.5955669382283,2552.41496718276,2876.811900511253,2517.983629047036,2884.453857421875,2525.0869140625,67978,132947.0
2021-05-27,2877.058302390175,2527.3066117604176,2933.509838144443,2600.609109413018,2810.4996758104267,2497.117591350919,2865.924072265625,2577.572509765625,523243,951662.0
2021-05-28,2892.4244300182504,2578.9046778084767,2921.677439158016,2603.4702763667287,2867.279978307489,2556.01620703492,2896.779541015625,2571.30810546875,59521,229962.0
2021-05-31,2896.7795297379207,2582.850895938552,2933.14026284304,2592.716636564749,2843.121729801408,2545.361081559001,2853.88623046875,2579.841796875,80168,243342.0
2021-06-01,2859.555750019975,2592.7165796101485,2899.039023989862,2598.685400730442,2853.8037700630384,2551.823133785433,2884.864501953125,2578.510009765625,58779,240381.0
2021-06-02,2898.998319461702,2578.509790149527,2925.0054095143264,2660.543318322258,2874.511275393502,2566.128238817633,2899.244873046875,2634.645751953125,52655,461967.0
2021-06-03,2912.843801384946,2646.9782215922496,2924.2655098539776,2654.328150218369,2892.4653180886257,2620.932762570234,2902.942138671875,2640.51611328125,35957,194210.0
2021-06-04,2915.39113640189,2653.8347443921466,2920.691135199928,2680.521619880781,2879.7289392584707,2614.4211603548288,2888.274658203125,2673.71435546875,36178,189368.0
2021-06-07,2888.315920730044,2693.3469200930112,2937.5774850022244,2700.2035609661125,2863.8700036200244,2644.0675987935365,2923.27978515625,2660.050048828125,71579,167237.0
2021-06-08,2936.797050876545,2668.6825407825336,2978.7043395152427,2826.5343731393564,2911.036313791608,2654.081198116972,2937.57763671875,2784.012939453125,62264,1034642.0
2021-06-09,2953.2313084936204,2811.7359660916127,2953.2313084936204,2811.7359660916127,2866.9515958080806,2715.150465566427,2878.126953125,2774.39404296875,75148,320196.0
2021-06-10,2900.6415886875334,2790.0313027452344,2918.719241648192,2850.4095840380246,2884.207358723298,2765.860239478877,2912.885009765625,2794.717529296875,43502,421096.0
