Date,Open,Open,Open,High,High,High,Low,Low,Low,Close,Close,Close,Volume,Volume,Volume
2020-12-03,1386.2271826752913,,,1396.1518119152718,,,1359.7130449462695,,,1368.7132568359375,,,2030412,,
2020-12-04,1379.6107988714245,,,1413.422403663937,,,1371.9241081278424,,,1393.71923828125,,,2305368,,
2020-12-07,1386.5189174051445,,,1386.5189174051445,,,1340.7881180240624,,,1360.1507568359375,,,1919745,,
2020-12-08,1370.3673044177697,,,1374.7943640303224,,,1343.804471646849,,,1358.350830078125,,,1063290,,
2020-12-09,1360.8318617050008,,,1365.1130668526182,,,1345.653151430628,,,1351.734375,,,1046697,,
2020-12-10,1354.11826498635,,,1356.9399766812319,,,1327.1663276887436,,,1334.8043212890625,,,1267284,,
2020-12-11,1333.879882714491,,,1346.772076259765,,,1313.5442480090535,,,1324.2958984375,,,1180252,,
2020-12-14,1334.9502253922726,,,1334.9502253922726,,,1292.6249084793253,,,1296.808837890625,,,1537324,,
2020-12-15,1295.0573806800774,,,1318.4092793549999,,,1259.4943374801671,,,1299.0953369140625,,,2462426,,
2020-12-16,1313.5443262101287,,,1327.1175700714064,,,1297.1493707822121,,,1304.0576171875,,,2268659,,
2020-12-17,1304.787312691072,,,1319.236275956026,,,1287.3220863282927,,,1294.133056640625,,,1483211,,
2020-12-18,1294.1331968980571,,,1307.122667932446,,,1281.43555335863,,,1300.6522216796875,,,1224257,,
2020-12-21,1297.8790918494349,,,1299.9223592281724,,,1180.4871274951947,,,1213.666259765625,,,1764980,,
2020-12-22,1226.9477038531456,,,1240.1318444532772,,,1149.6918135750188,,,1195.4713134765625,,,2446030,,
2020-12-23,1206.9039218032244,,,1253.218494587551,,,1201.892970061547,,,1232.3963623046875,,,2513410,,
2020-12-24,1232.7856647834392,,,1246.7481306021732,,,1207.0499736714348,,,1225.7314453125,,,1372662,,
2020-12-28,1235.5101126520412,,,1245.2886491642653,,,1204.617496044486,,,1209.0445556640625,,,1540189,,
2020-12-29,1216.244754964223,,,1242.5156416714503,,,1195.9578162062,,,1234.6343994140625,,,2433842,,
2020-12-30,1242.515694788621,,,1248.9861409164207,,,1220.7205640931465,,,1230.9857177734375,,,1853063,,
2020-12-31,1230.9857440369228,,,1240.375177901749,,,1211.6231025422564,,,1226.364013671875,,,1401417,,
2021-01-01,1254.775246799016,,,1274.478409972647,,,1246.407507428203,,,1253.02392578125,,,4914281,,
2021-01-04,1269.6132853651163,,,1281.435205664174,,,1248.8885503419356,,,1276.8134765625,,,1879986,,
2021-01-05,1265.9162331579507,,,1284.3544560592406,,,1260.6133347833654,,,1277.738037109375,,,1833381,,
2021-01-06,1276.4244064478157,,,1289.3165996865125,,,1243.0020273535952,,,1259.4456787109375,,,2806134,,
2021-01-07,1274.6244685779925,,,1293.79243788598,,,1268.348693322416,,,1281.53271484375,,,2230665,,
2021-01-08,1292.1383779651594,,,1318.4092636617402,,,1284.354411832839,,,1312.5712890625,,,2413770,,
2021-01-11,1315.4904274420596,,,1331.0583614946283,,,1297.9765016329197,,,1318.3607177734375,,,1482086,,
2021-01-12,1303.8142868663524,,,1347.5990950073865,,,1303.8142868663524,,,1340.2529296875,,,1757289,,
2021-01-13,1349.3506724667855,,,1352.1722653712086,,,1314.5173740389446,,,1327.5555419921875,,,1404013,,
2021-01-14,1313.5442598227553,,,1330.4744095930275,,,1304.8359953875624,,,1310.81982421875,,,903834,,
2021-01-15,1308.6793034078385,,,1321.2309725261578,,,1271.7054643524498,,,1286.203125,,,1266051,,
2021-01-18,1291.9923957539718,,,1292.5275909313616,,,1230.839636012027,,,1237.4560546875,,,1089920,,
2021-01-19,1259.056562150943,,,1262.899848042075,,,1232.5911239645948,,,1240.180419921875,,,1369538,,
2021-01-20,1243.926544649104,,,1277.349048398063,,,1241.8832770404906,,,1270.4893798828125,,,1649554,,
2021-01-21,1276.765097265265,,,1288.2464957185427,,,1241.1534731776758,,,1250.93212890625,,,1264624,,
2021-01-22,1254.14279665712,,,1281.2894012352433,,,1250.2508137433788,,,1258.7645263671875,,,1394519,,
2021-01-25,1264.8946241167478,,,1269.7109061374747,,,1185.2062390426108,,,1192.795654296875,,,1643931,,
2021-01-27,1187.0548126155575,,,1237.6505915139255,,,1169.5408891507377,,,1213.4229736328125,,,2822897,,
2021-01-28,1192.8927972928748,,,1216.244695445427,,,1168.6651792048226,,,1191.141357421875,,,1367820,,
2021-01-29,1206.320243085304,,,1209.3850848431334,,,1168.8112074006788,,,1173.1409912109375,,,1173050,,
2021-02-01,1206.514765307915,,,1239.4020701298998,,,1152.999997491838,,,1231.2288818359375,,,2416468,,
2021-02-02,1244.8993752195188,,,1318.4092522551875,,,1244.3642988168895,,,1298.122314453125,,,4685702,,
2021-02-03,1298.9494474668172,,,1385.20555250844,,,1271.1217901747439,,,1346.772216796875,,,4606890,,
2021-02-04,1346.6261752887017,,,1401.1139396067415,,,1338.842208957553,,,1363.8968505859375,,,3214687,,
2021-02-05,1377.4214136903786,,,1405.8815384780141,,,1353.4370454564475,,,1362.437255859375,,,1644014,,
2021-02-08,1376.4486218333502,,,1414.6872879983957,,,1366.1348894366934,,,1394.1085205078125,,,1681481,,
2021-02-09,1402.0868352808054,,,1428.79552033784,,,1381.7512009379848,,,1388.805419921875,,,2179561,,
2021-02-10,1390.4110507821463,,,1414.6872494006557,,,1369.9781382094204,,,1403.44921875,,,1968341,,
2021-02-11,1392.7460942660737,,,1403.0598251203633,,,1382.626915045795,,,1386.3729248046875,,,711530,,
2021-02-12,1393.475822966392,,,1397.2218326766592,,,1370.9509486360814,,,1385.4486083984375,,,643467,,
2021-02-15,1388.4649251406317,,,1394.3028995981256,,,1353.9722735638297,,,1359.4696044921875,,,773448,,
